mean_auc,std_auc,rank_test_score,clf__class_weight,clf__criterion,clf__max_depth,clf__min_samples_leaf
0.8560005396866213,0.002168184202710781,1,,log_loss,13,88
0.8560005396866213,0.002168184202710781,1,,entropy,13,88
0.8557972034071686,0.003590392827070961,3,,log_loss,11,58
0.8557972034071686,0.003590392827070961,3,,entropy,11,58
0.8557301675620073,0.0029096825920026342,5,balanced,entropy,11,24
0.8557301675620073,0.0029096825920026342,5,balanced,log_loss,11,24
0.8556516467626085,0.0028849254220765196,7,,entropy,13,58
0.8556516467626085,0.0028849254220765196,7,,log_loss,13,58
0.855633758781688,0.002734612219956323,9,balanced,log_loss,11,34
0.855633758781688,0.002734612219956323,9,balanced,entropy,11,34
0.8556297266595376,0.0033767421568608475,11,,log_loss,11,34
0.8556297266595376,0.0033767421568608475,11,,entropy,11,34
0.8556140558680145,0.0033304893508684956,13,,entropy,11,88
0.8556140558680145,0.0033304893508684956,13,,log_loss,11,88
0.8555921586265764,0.0032667861582709517,15,balanced,log_loss,11,58
0.8555921586265764,0.0032667861582709517,15,balanced,entropy,11,58
0.8555896534899636,0.002510019657841548,17,,gini,13,88
0.8555807790900193,0.002941388431576715,18,,gini,13,34
0.8555552841282175,0.0023932302089353335,19,,entropy,13,78
0.8555552841282175,0.0023932302089353335,19,,log_loss,13,78
0.8554832043071816,0.003245953017381567,21,,log_loss,11,78
0.8554832043071816,0.003245953017381567,21,,entropy,11,78
0.8554526574323628,0.0023906491949299254,23,,entropy,13,34
0.8554526574323628,0.0023906491949299254,23,,log_loss,13,34
0.8554075416772686,0.0025510531644735643,25,,entropy,13,68
0.8554075416772686,0.0025510531644735643,25,,log_loss,13,68
0.8553983714785213,0.0025005906742594764,27,,gini,13,78
0.8553348593896241,0.003496543039086499,28,,log_loss,11,68
0.8553348593896241,0.003496543039086499,28,,entropy,11,68
0.8553293487707352,0.002883236812011818,30,,gini,11,34
0.8552949732814822,0.0024215228346024715,31,,entropy,13,98
0.8552949732814822,0.0024215228346024715,31,,log_loss,13,98
0.855275993421212,0.0029650849698269937,33,,gini,13,68
0.855250602262181,0.0018714341213597978,34,,gini,15,88
0.8552309625816139,0.0023508371205910174,35,,gini,13,98
0.8552048780270631,0.0016049020350478317,36,,log_loss,15,88
0.8552048780270631,0.0016049020350478317,36,,entropy,15,88
