mean_auc,std_auc,rank_test_score,mean_fit_time,std_fit_time,clf__class_weight,clf__criterion,clf__max_depth,clf__min_samples_leaf
0.8560005396866213,0.002168184202710781,1,1.4427259922027589,0.00675522037564165,,log_loss,13,88
0.8560005396866213,0.002168184202710781,1,1.500290822982788,0.018915551595663174,,entropy,13,88
0.8557972034071686,0.003590392827070961,3,1.357426691055298,0.053736716601923515,,log_loss,11,58
0.8557972034071686,0.003590392827070961,3,1.2966169834136962,0.012799349077992777,,entropy,11,58
0.8557301675620073,0.0029096825920026342,5,1.3706801414489747,0.012135970592399247,balanced,entropy,11,24
0.8557301675620073,0.0029096825920026342,5,1.375358247756958,0.0076783510370312235,balanced,log_loss,11,24
0.8556516467626085,0.0028849254220765196,7,1.5116283416748046,0.029485206487323508,,entropy,13,58
0.8556516467626085,0.0028849254220765196,7,1.48504638671875,0.003904575227762289,,log_loss,13,58
0.855633758781688,0.002734612219956323,9,1.4180835723876952,0.043988994739174225,balanced,log_loss,11,34
0.855633758781688,0.002734612219956323,9,1.3718718051910401,0.018035062453908002,balanced,entropy,11,34
0.8556297266595376,0.0033767421568608475,11,1.312717342376709,0.007951544761691971,,log_loss,11,34
0.8556297266595376,0.0033767421568608475,11,1.3586204528808594,0.03102853950566331,,entropy,11,34
0.8556140558680145,0.0033304893508684956,13,1.295290470123291,0.028715454132318297,,entropy,11,88
0.8556140558680145,0.0033304893508684956,13,1.258557176589966,0.01361089798204312,,log_loss,11,88
0.8555921586265764,0.0032667861582709517,15,1.3114616394042968,0.003974591543976979,balanced,log_loss,11,58
0.8555921586265764,0.0032667861582709517,15,1.4142732620239258,0.04141959512600057,balanced,entropy,11,58
0.8555896534899636,0.002510019657841548,17,1.436739158630371,0.004941345901069793,,gini,13,88
0.8555807790900193,0.002941388431576715,18,1.5409145832061768,0.00792171326145484,,gini,13,34
0.8555552841282175,0.0023932302089353335,19,1.4761730194091798,0.010328408929898083,,entropy,13,78
0.8555552841282175,0.0023932302089353335,19,1.483121967315674,0.03154581335266555,,log_loss,13,78
0.8554832043071816,0.003245953017381567,21,1.2716641902923584,0.009113967925727412,,log_loss,11,78
0.8554832043071816,0.003245953017381567,21,1.2738622188568116,0.00774241334061056,,entropy,11,78
0.8554526574323628,0.0023906491949299254,23,1.5786226749420167,0.013589126284906805,,entropy,13,34
0.8554526574323628,0.0023906491949299254,23,1.5546775817871095,0.018970897451747668,,log_loss,13,34
0.8554075416772686,0.0025510531644735643,25,1.509331512451172,0.024075717754361733,,entropy,13,68
0.8554075416772686,0.0025510531644735643,25,1.522551918029785,0.04002870342030738,,log_loss,13,68
0.8553983714785213,0.0025005906742594764,27,1.4528812885284423,0.013000904817474563,,gini,13,78
0.8553348593896241,0.003496543039086499,28,1.275504970550537,0.0051582834149934064,,log_loss,11,68
0.8553348593896241,0.003496543039086499,28,1.2872620582580567,0.01085257901686283,,entropy,11,68
0.8553293487707352,0.002883236812011818,30,1.317748737335205,0.009081177891608259,,gini,11,34
0.8552949732814822,0.0024215228346024715,31,1.4380212306976319,0.009553550011197513,,entropy,13,98
