mean_auc,std_auc,rank_test_score,clf__min_samples_leaf,clf__max_depth,clf__criterion,clf__class_weight
0.8557301675620073,0.0029096825920026342,1,24,11.0,log_loss,balanced
0.8552949732814822,0.0024215228346024715,2,98,13.0,entropy,
0.855275993421212,0.0029650849698269937,3,68,13.0,gini,
0.854576071669897,0.0037518573105206512,4,44,10.0,entropy,
0.8545759394710446,0.0016322804122117548,5,86,16.0,gini,
0.8544200655520819,0.0027370876222753576,6,22,11.0,gini,
0.8543274819950272,0.003611963043511377,7,54,13.0,gini,balanced
0.854246142093092,0.0013825821829949506,8,86,17.0,gini,
0.8540814230711528,0.0035023021224148384,9,34,13.0,gini,balanced
0.8539303217787522,0.003147048857839266,10,91,10.0,entropy,balanced
0.8528627930743209,0.0032753781302863392,11,96,10.0,gini,
0.8518730494120363,0.002671060540239913,12,100,19.0,gini,
0.8518085650339702,0.0016864792000717557,13,90,20.0,log_loss,
0.8518019755201914,0.0032405781526566946,14,74,9.0,log_loss,
0.8517940651480324,0.0033369229696186627,15,91,9.0,entropy,
0.8517842807381895,0.002403857620381119,16,56,16.0,gini,balanced
0.8517560699388781,0.002237276193137406,17,27,15.0,entropy,
0.8512403680770184,0.002945961904191995,18,61,9.0,gini,
0.8502715127898695,0.001921407963979703,19,91,24.0,entropy,
0.8499783607568357,0.0022090675897033984,20,93,28.0,log_loss,
0.8496714165858205,0.002083547050777104,21,95,24.0,gini,balanced
0.849550705404512,0.001944244342683413,22,85,23.0,gini,balanced
0.8492285696390048,0.0017588474587440458,23,76,27.0,entropy,
0.8490324505037001,0.0031808634809028656,24,88,8.0,log_loss,balanced
0.8488557100640088,0.0033250864558795937,25,96,8.0,log_loss,balanced
0.8486268657470208,0.0026916428483390042,26,51,19.0,log_loss,balanced
0.8481467387617736,0.002382959383812051,27,64,24.0,gini,balanced
0.8479809497706731,0.0028422844483902776,28,18,15.0,entropy,balanced
0.8478549152434592,0.0024853121298498105,29,52,21.0,entropy,
0.8476811796312113,0.002232837857767343,30,67,27.0,log_loss,
0.8475580435284457,0.0021875425066036004,31,69,26.0,log_loss,balanced
0.8475421702980416,0.002411197567303881,32,65,30.0,gini,balanced
0.8470328269873526,0.002371067604002713,33,60,22.0,log_loss,balanced
0.846641092250685,0.002328543513510931,34,28,17.0,gini,balanced
0.8462656608139039,0.0023348818761555062,35,70,8.0,gini,
0.8457240146828798,0.002538502525715517,36,54,27.0,gini,balanced
0.8447082383088167,0.0027030315314579,37,48,28.0,gini,
0.8441171370990119,0.0026359869111076003,38,93,7.0,gini,balanced
0.8429021914571717,0.0019881362123694885,39,42,26.0,entropy,balanced
0.8425023626552095,0.0018245096479955782,40,39,29.0,log_loss,
0.8411819410229517,0.0015890328911085472,41,34,25.0,log_loss,
0.8411384775691498,0.0023359004365086653,42,34,25.0,gini,
0.8395462533802469,0.0013670030159327806,43,27,23.0,log_loss,
0.8363106266631208,0.0018533799242374245,44,23,24.0,log_loss,
0.8356644406954293,0.0024231101859003455,45,24,25.0,entropy,balanced
0.8350457341680553,0.002735813705121168,46,57,6.0,entropy,
0.8329828466428383,0.0014777047953210432,47,17,21.0,gini,balanced
0.8251016535231468,0.0025180053921897393,48,13,27.0,gini,
0.822003308311014,0.002615793942045545,49,13,30.0,log_loss,balanced
0.8218284326526311,0.0014652492147551929,50,12,24.0,entropy,
0.8175293537753191,0.0023473132161221004,51,6,19.0,gini,balanced
0.8132752178807362,0.003133263481386478,52,21,5.0,log_loss,
0.7998824714480302,0.0014047759564757563,53,6,,entropy,
0.7970676764235658,0.002783253113009966,54,97,4.0,log_loss,
0.7741038368363755,0.0032867317822821264,55,3,26.0,entropy,balanced
0.7648098498984968,0.004157146246518098,56,7,3.0,entropy,balanced
0.757745326022283,0.0029992201228241327,57,66,3.0,log_loss,
0.7158071727540348,0.004605092754757206,58,53,2.0,entropy,
0.7149486843968489,0.004995168395865749,59,62,2.0,gini,
0.7149486843968489,0.004995168395865749,59,90,2.0,gini,
